Angry Birds,Droid Invaders,Pie3dDemo
1253.9412987446094,1178.2669225181985,1170.0859088721002
2392.6373169424064,1260.0770589791832,1137.3618542877061
2578.164643242406,1307.1178874442494,1204.8552168680185
1983.0953059339467,2392.6373169424064,1188.4931895758218
1310.2891805877061,2392.6373169424064,2392.6373169424064
1414.3196715531315,2174.3274593398082,2350.066024111466
1377.7825431680185,1345.8456539877063,2351.0019886607874
1377.7825431680185,1578.345018180159,1747.4865566637573
1329.2871954401678,1345.8456539877063,1333.2456539877062
1192.2552168680186,1260.0770589791832,1374.1507222181986
1192.2552168680186,1239.624524863937,1333.2456539877062
1192.2552168680186,1137.3618542877061,1227.0245248639371
1124.7618542877062,1137.3618542877061,2380.037316942406
1124.7618542877062,1204.8552168680185,1438.580719951381
1192.2552168680186,1137.3618542877061,1325.6059283124582
1124.7618542877062,1153.0669225181987,1124.7618542877062
1165.6669225181986,1153.0669225181987,1165.6669225181986
1124.7618542877062,1112.1618542877063,1192.2552168680186
1157.4859088721,1153.0669225181987,1165.6669225181986
1165.6669225181986,1112.1618542877063,1157.4859088721
1124.7618542877062,1198.06249757174,1192.2552168680186
1206.571990748691,1112.1618542877063,1124.7618542877062
2380.037316942406,1112.1618542877063,1182.0289498103957
1375.816946818646,1281.9178874442493,1124.7618542877062
1124.7618542877062,2367.437316942406,1165.6669225181986
1124.7618542877062,1363.2169468186462,1278.1558601520524
1325.6059283124582,1112.1618542877063,2380.037316942406
1124.7618542877062,1112.1618542877063,1325.6059283124582
1165.6669225181986,1112.1618542877063,1124.7618542877062
1182.0289498103957,1179.6552168680187,1124.7618542877062
1192.2552168680186,1144.8859088721001,1124.7618542877062
1124.7618542877062,1112.1618542877063,1206.571990748691
1124.7618542877062,1153.0669225181987,1157.4859088721
1206.571990748691,1112.1618542877063,1124.7618542877062
1124.7618542877062,1146.6552168680187,1165.6669225181986
1165.6669225181986,1079.1618542877063,1157.4859088721
1165.6669225181986,1079.1618542877063,1192.2552168680186
1124.7618542877062,1146.6552168680187,1124.7618542877062
1165.6669225181986,1079.1618542877063,1157.4859088721
1210.66249757174,1146.6552168680187,1165.6669225181986
1124.7618542877062,1079.1618542877063,1124.7618542877062
1149.9618542877065,1120.0669225181987,1192.2552168680186
1217.4552168680186,1079.1618542877063,1124.7618542877062
1149.9618542877065,1146.6552168680187,1157.4859088721
1190.8669225181989,1079.1618542877063,1178.2669225181985
1190.8669225181989,1120.0669225181987,1178.2669225181985
1149.9618542877065,1146.6552168680187,1137.3618542877061
1190.8669225181989,1079.1618542877063,1178.2669225181985
1190.8669225181989,1120.0669225181987,1204.8552168680185
1190.8669225181989,1111.8859088721001,1137.3618542877061
1149.9618542877065,1079.1618542877063,1204.8552168680185
1182.6859088721003,1120.0669225181987,1178.2669225181985
1231.771990748691,1146.6552168680187,1137.3618542877061
